7	4	8	8	8	7	7	8	8	サブリーダー（リーダーを支える）	はい！！目のかんけいで…	21,11,8
2	2	6	8	2	4	3	6	7	サブリーダー（リーダーを支える）	あの、目のかんけいではないけど、できれば前がいいな…	
4	6	5	5	4	4	6	5	8	リーダー（チームやクラスのために）	いいえ、どこでもいいよ	18,20
6	8	5	4	3	7	7	5	0	リーダー（チームやクラスのために）	いいえ、どこでもいいよ	
7	4	7	8	8	8	7	6	8	リーダー（チームやクラスのために）	いいえ、どこでもいいよ	
8	6	7	5	4	7	7	5	8	リーダー（チームやクラスのために）	いいえ、どこでもいいよ	4
1	6	6	7	8	7	7	6	8	上の２つ以外	いいえ、どこでもいいよ	
3	2	2	4	2	2	1	5	7	上の２つ以外	いいえ、どこでもいいよ	
2	8	5	7	5	7	6	7	6	サブリーダー（リーダーを支える）	いいえ、どこでもいいよ	
6	4	6	3	3	5	4	4	7	上の２つ以外	いいえ、どこでもいいよ	
4	4	4	2	4	8	8	6	7	リーダー（チームやクラスのために）	いいえ、どこでもいいよ	20,18
5	2	4	2	0	2	2	4	6	上の２つ以外	いいえ、どこでもいいよ	
2	7	6	4	6	6	6	2	6	上の２つ以外	いいえ、どこでもいいよ	27,6,17
8	4	5	4	4	6	3	7	2	リーダー（チームやクラスのために）	あの、目のかんけいではないけど、できれば前がいいな…	23
1	4	5	6	3	7	5	4	6	リーダー（チームやクラスのために）	はい！！目のかんけいで…	
3	4	6	6	5	6	6	2	7	サブリーダー（リーダーを支える）	いいえ、どこでもいいよ	27、21
1	5	4	5	0	2	1	2	1	上の２つ以外	いいえ、どこでもいいよ	27・21
5	4	7	4	2	6	4	6	8	リーダー（チームやクラスのために）	あの、目のかんけいではないけど、できれば前がいいな…	27,7
3	5	8	8	6	8	7	8	7	上の２つ以外	いいえ、どこでもいいよ	18,11
8	3	5	8	6	7	4	8	6	サブリーダー（リーダーを支える）	いいえ、どこでもいいよ	27
3	3	4	0	8	5	5	3	5	サブリーダー（リーダーを支える）	いいえ、どこでもいいよ	
4	2	6	2	1	3	4	4	1	上の２つ以外	いいえ、どこでもいいよ	
2	5	7	3	2	6	5	4	2	サブリーダー（リーダーを支える）	いいえ、どこでもいいよ	
4	3	6	5	3	5	5	5	7	上の２つ以外	いいえ、どこでもいいよ	17
1	1	0	1	0	0	1	1	1	上の２つ以外	いいえ、どこでもいいよ	
2	4	7	5	6	5	5	7	6	サブリーダー（リーダーを支える）	いいえ、どこでもいいよ	27
1	1	7	6	5	7	4	7	6	リーダー（チームやクラスのために）	いいえ、どこでもいいよ	17、4、3
5	7	7	7	6	7	6	8	8	リーダー（チームやクラスのために）	はい！！目のかんけいで…	7,18
7	3	4	1	1	4	2	5	6	上の２つ以外	いいえ、どこでもいいよ	
