2	0	0	0	0	0	0	0	0	上の２つ以外	いいえ、どこでもいいよ	
5	2	6	8	2	4	3	6	7	サブリーダー（リーダーを支える）	あの、目のかんけいではないけど、できれば前がいいな…	
4	6	5	5	4	4	6	5	8	リーダー（チームやクラスのために）	いいえ、どこでもいいよ	
4	8	5	4	3	7	7	5	0	リーダー（チームやクラスのために）	いいえ、どこでもいいよ	
3	4	7	8	8	8	7	6	8	リーダー（チームやクラスのために）	いいえ、どこでもいいよ	
7	6	7	5	4	7	7	5	8	リーダー（チームやクラスのために）	いいえ、どこでもいいよ	"27,7"
2	6	6	7	8	7	7	6	8	上の２つ以外	いいえ、どこでもいいよ	
4	2	2	4	2	2	1	5	7	上の２つ以外	いいえ、どこでもいいよ	
6	8	5	7	5	7	6	7	6	サブリーダー（リーダーを支える）	いいえ、どこでもいいよ	
1	4	6	3	3	5	4	4	7	上の２つ以外	いいえ、どこでもいいよ	
8	4	4	2	4	8	8	6	7	リーダー（チームやクラスのために）	いいえ、どこでもいいよ	"28,3,30"
2	0	0	0	0	0	0	0	0	上の２つ以外	いいえ、どこでもいいよ	
4	7	6	4	6	6	6	2	6	上の２つ以外	いいえ、どこでもいいよ	
6	4	5	4	4	6	3	7	2	リーダー（チームやクラスのために）	あの、目のかんけいではないけど、できれば前がいいな…	
3	4	5	6	3	7	5	4	6	リーダー（チームやクラスのために）	はい！！目のかんけいで…	
6	4	6	6	5	6	6	2	7	サブリーダー（リーダーを支える）	いいえ、どこでもいいよ	
4	5	4	5	0	2	1	2	1	上の２つ以外	いいえ、どこでもいいよ	"21,27"
5	4	7	4	2	6	4	6	8	リーダー（チームやクラスのために）	あの、目のかんけいではないけど、できれば前がいいな…	
1	5	8	8	6	8	7	8	7	上の２つ以外	いいえ、どこでもいいよ	
7	3	5	8	6	7	4	8	6	サブリーダー（リーダーを支える）	いいえ、どこでもいいよ	"4,6,27"
5	3	4	0	8	5	5	3	5	サブリーダー（リーダーを支える）	いいえ、どこでもいいよ	
3	0	0	0	0	0	0	0	0	上の２つ以外	いいえ、どこでもいいよ	
8	5	7	3	2	6	5	4	2	サブリーダー（リーダーを支える）	いいえ、どこでもいいよ	"6,4,17,27"
1	3	6	5	3	5	5	5	7	上の２つ以外	いいえ、どこでもいいよ	
7	1	0	1	0	0	1	1	1	上の２つ以外	いいえ、どこでもいいよ	
7	4	7	5	6	5	5	7	6	サブリーダー（リーダーを支える）	いいえ、どこでもいいよ	
8	3	4	5	6	4	3	2	8	リーダー（チームやクラスのために）	あの、目のかんけいではないけど、できれば前がいいな…	
1	1	7	6	5	7	4	7	6	リーダー（チームやクラスのために）	いいえ、どこでもいいよ	"1,3"
5	7	7	7	6	7	6	8	8	リーダー（チームやクラスのために）	はい！！目のかんけいで…	
3	0	0	0	0	0	0	0	0	上の２つ以外	いいえ、どこでもいいよ	
2	0	0	0	0	0	0	0	0	上の２つ以外	いいえ、どこでもいいよ	
